================================================================================
Testing learning rate: 0.0001
================================================================================

Using device: cuda
Loading training data...
Loading test data...
Starting training with learning rate: 0.0001, optimizer: adam
Epoch [6/15], Loss: 0.0712, Train Acc: 98.34%, Test Acc: 95.12%
Epoch [7/15], Step [10/114], Loss: 0.1117
Epoch [7/15], Step [20/114], Loss: 0.0466
Epoch [7/15], Step [30/114], Loss: 0.0369
Epoch [7/15], Step [40/114], Loss: 0.0878
Epoch [7/15], Step [50/114], Loss: 0.0560
Epoch [7/15], Step [60/114], Loss: 0.0347
Epoch [7/15], Step [70/114], Loss: 0.0855
Epoch [7/15], Step [80/114], Loss: 0.0357
Epoch [7/15], Step [90/114], Loss: 0.0629
Epoch [7/15], Step [100/114], Loss: 0.0743
Epoch [7/15], Step [110/114], Loss: 0.0663
Epoch [7/15], Loss: 0.0578, Train Acc: 98.61%, Test Acc: 95.22%
Epoch [8/15], Step [10/114], Loss: 0.0363
Epoch [8/15], Step [20/114], Loss: 0.0474
Epoch [8/15], Step [30/114], Loss: 0.0399
Epoch [8/15], Step [40/114], Loss: 0.0655
Epoch [8/15], Step [50/114], Loss: 0.0231
Epoch [8/15], Step [60/114], Loss: 0.0559
Epoch [8/15], Step [70/114], Loss: 0.0563
Epoch [8/15], Step [80/114], Loss: 0.0884
Epoch [8/15], Step [90/114], Loss: 0.0578
Epoch [8/15], Step [100/114], Loss: 0.0291
Epoch [8/15], Step [110/114], Loss: 0.0773
Epoch [8/15], Loss: 0.0509, Train Acc: 98.83%, Test Acc: 95.57%
Epoch [9/15], Step [10/114], Loss: 0.0411
Epoch [9/15], Step [20/114], Loss: 0.0199
Epoch [9/15], Step [30/114], Loss: 0.0212
Epoch [9/15], Step [40/114], Loss: 0.0143
Epoch [9/15], Step [50/114], Loss: 0.0521
Epoch [9/15], Step [60/114], Loss: 0.0103
Epoch [9/15], Step [70/114], Loss: 0.0202
Epoch [9/15], Step [80/114], Loss: 0.0127
Epoch [9/15], Step [90/114], Loss: 0.0339
Epoch [9/15], Step [100/114], Loss: 0.0113
Epoch [9/15], Step [110/114], Loss: 0.0157
Epoch [9/15], Loss: 0.0417, Train Acc: 99.11%, Test Acc: 95.62%
Epoch [10/15], Step [10/114], Loss: 0.0408
Epoch [10/15], Step [20/114], Loss: 0.0116
Epoch [10/15], Step [30/114], Loss: 0.0147
Epoch [10/15], Step [40/114], Loss: 0.0166
Epoch [10/15], Step [50/114], Loss: 0.0060
Epoch [10/15], Step [60/114], Loss: 0.0342
Epoch [10/15], Step [70/114], Loss: 0.0344
Epoch [10/15], Step [80/114], Loss: 0.0184
Epoch [10/15], Step [90/114], Loss: 0.0956
Epoch [10/15], Step [100/114], Loss: 0.0322
Epoch [10/15], Step [110/114], Loss: 0.0353
Epoch [10/15], Loss: 0.0366, Train Acc: 99.16%, Test Acc: 95.81%
Epoch [11/15], Step [10/114], Loss: 0.0336
Epoch [11/15], Step [20/114], Loss: 0.0208
Epoch [11/15], Step [30/114], Loss: 0.0097
Epoch [11/15], Step [40/114], Loss: 0.0242
Epoch [11/15], Step [50/114], Loss: 0.0176
Epoch [11/15], Step [60/114], Loss: 0.0127
Epoch [11/15], Step [70/114], Loss: 0.0247
Epoch [11/15], Step [80/114], Loss: 0.0522
Epoch [11/15], Step [90/114], Loss: 0.0355
Epoch [11/15], Step [100/114], Loss: 0.0514
Epoch [11/15], Step [110/114], Loss: 0.0381
Epoch [11/15], Loss: 0.0321, Train Acc: 99.25%, Test Acc: 95.76%
Epoch [12/15], Step [10/114], Loss: 0.0869
Epoch [12/15], Step [20/114], Loss: 0.0472
Epoch [12/15], Step [30/114], Loss: 0.0203
Epoch [12/15], Step [40/114], Loss: 0.0245
Epoch [12/15], Step [50/114], Loss: 0.0116
Epoch [12/15], Step [60/114], Loss: 0.0507
Epoch [12/15], Step [70/114], Loss: 0.0103
Epoch [12/15], Step [80/114], Loss: 0.0205
Epoch [12/15], Step [90/114], Loss: 0.0198
Epoch [12/15], Step [100/114], Loss: 0.0121
Epoch [12/15], Step [110/114], Loss: 0.0226
Epoch [12/15], Loss: 0.0284, Train Acc: 99.48%, Test Acc: 96.01%
Epoch [13/15], Step [10/114], Loss: 0.0343
Epoch [13/15], Step [20/114], Loss: 0.0223
Epoch [13/15], Step [30/114], Loss: 0.0225
Epoch [13/15], Step [40/114], Loss: 0.0111
Epoch [13/15], Step [50/114], Loss: 0.0166
Epoch [13/15], Step [60/114], Loss: 0.0357
Epoch [13/15], Step [70/114], Loss: 0.0183
Epoch [13/15], Step [80/114], Loss: 0.0071
Epoch [13/15], Step [90/114], Loss: 0.0225
Epoch [13/15], Step [100/114], Loss: 0.0204
Epoch [13/15], Step [110/114], Loss: 0.0097
Epoch [13/15], Loss: 0.0243, Train Acc: 99.59%, Test Acc: 95.91%
Epoch [14/15], Step [10/114], Loss: 0.0122
Epoch [14/15], Step [20/114], Loss: 0.0261
Epoch [14/15], Step [30/114], Loss: 0.0107
Epoch [14/15], Step [40/114], Loss: 0.0229
Epoch [14/15], Step [50/114], Loss: 0.0204
Epoch [14/15], Step [60/114], Loss: 0.0156
Epoch [14/15], Step [70/114], Loss: 0.0168
Epoch [14/15], Step [80/114], Loss: 0.0224
Epoch [14/15], Step [90/114], Loss: 0.0207
Epoch [14/15], Step [100/114], Loss: 0.0065
Epoch [14/15], Step [110/114], Loss: 0.0113
Epoch [14/15], Loss: 0.0213, Train Acc: 99.67%, Test Acc: 96.06%
Epoch [15/15], Step [10/114], Loss: 0.0155
Epoch [15/15], Step [20/114], Loss: 0.0142
Epoch [15/15], Step [30/114], Loss: 0.0360
Epoch [15/15], Step [40/114], Loss: 0.0247
Epoch [15/15], Step [50/114], Loss: 0.0166
Epoch [15/15], Step [60/114], Loss: 0.0913
Epoch [15/15], Step [70/114], Loss: 0.0146
Epoch [15/15], Step [80/114], Loss: 0.0114
Epoch [15/15], Step [90/114], Loss: 0.0133
Epoch [15/15], Step [100/114], Loss: 0.0129
Epoch [15/15], Step [110/114], Loss: 0.0074
Epoch [15/15], Loss: 0.0191, Train Acc: 99.68%, Test Acc: 96.01%
Training completed in 4.21 seconds
Training curves saved
Accuracy of digit 0: 98.89% (355/359)
Accuracy of digit 1: 97.73% (258/264)
Accuracy of digit 2: 94.44% (187/198)
Accuracy of digit 3: 93.98% (156/166)
Accuracy of digit 4: 92.50% (185/200)
Accuracy of digit 5: 95.62% (153/160)
Accuracy of digit 6: 97.65% (166/170)
Accuracy of digit 7: 93.88% (138/147)
Accuracy of digit 8: 93.37% (155/166)
Accuracy of digit 9: 98.87% (175/177)
Overall Test Accuracy: 96.06% (1928/2007)


================================================================================
Testing learning rate: 0.01
================================================================================

Using device: cuda
Loading training data...
Loading test data...
Starting training with learning rate: 0.01, optimizer: adam
Epoch [1/15], Step [10/114], Loss: 2.2633
Epoch [1/15], Step [20/114], Loss: 2.2276
Epoch [1/15], Step [30/114], Loss: 2.0105
Epoch [1/15], Step [40/114], Loss: 1.2744
Epoch [1/15], Step [50/114], Loss: 0.6881
Epoch [1/15], Step [60/114], Loss: 0.4181
Epoch [1/15], Step [70/114], Loss: 0.2932
Epoch [1/15], Step [80/114], Loss: 0.2169
Epoch [1/15], Step [90/114], Loss: 0.3383
Epoch [1/15], Step [100/114], Loss: 0.2188
Epoch [1/15], Step [110/114], Loss: 0.1300
Epoch [1/15], Loss: 1.0628, Train Acc: 66.62%, Test Acc: 92.23%
Epoch [2/15], Step [10/114], Loss: 0.1310
Epoch [2/15], Step [20/114], Loss: 0.1101
Epoch [2/15], Step [30/114], Loss: 0.1475
Epoch [2/15], Step [40/114], Loss: 0.1174
Epoch [2/15], Step [50/114], Loss: 0.1383
Epoch [2/15], Step [60/114], Loss: 0.1308
Epoch [2/15], Step [70/114], Loss: 0.1243
Epoch [2/15], Step [80/114], Loss: 0.0365
Epoch [2/15], Step [90/114], Loss: 0.0432
Epoch [2/15], Step [100/114], Loss: 0.0283
Epoch [2/15], Step [110/114], Loss: 0.0463
Epoch [2/15], Loss: 0.1247, Train Acc: 96.45%, Test Acc: 93.67%
Epoch [3/15], Step [10/114], Loss: 0.1211
Epoch [3/15], Step [20/114], Loss: 0.0883
Epoch [3/15], Step [30/114], Loss: 0.0516
Epoch [3/15], Step [40/114], Loss: 0.0384
Epoch [3/15], Step [50/114], Loss: 0.0633
Epoch [3/15], Step [60/114], Loss: 0.0723
Epoch [3/15], Step [70/114], Loss: 0.0247
Epoch [3/15], Step [80/114], Loss: 0.1246
Epoch [3/15], Step [90/114], Loss: 0.0901
Epoch [3/15], Step [100/114], Loss: 0.0599
Epoch [3/15], Step [110/114], Loss: 0.0490
Epoch [3/15], Loss: 0.0813, Train Acc: 97.70%, Test Acc: 94.52%
Epoch [4/15], Step [10/114], Loss: 0.0612
Epoch [4/15], Step [20/114], Loss: 0.0359
Epoch [4/15], Step [30/114], Loss: 0.0398
Epoch [4/15], Step [40/114], Loss: 0.0228
Epoch [4/15], Step [50/114], Loss: 0.0213
Epoch [4/15], Step [60/114], Loss: 0.0241
Epoch [4/15], Step [70/114], Loss: 0.0290
Epoch [4/15], Step [80/114], Loss: 0.0435
Epoch [4/15], Step [90/114], Loss: 0.0343
Epoch [4/15], Step [100/114], Loss: 0.0203
Epoch [4/15], Step [110/114], Loss: 0.0154
Epoch [4/15], Loss: 0.0484, Train Acc: 98.66%, Test Acc: 94.92%
Epoch [5/15], Step [10/114], Loss: 0.0465
Epoch [5/15], Step [20/114], Loss: 0.0984
Epoch [5/15], Step [30/114], Loss: 0.0240
Epoch [5/15], Step [40/114], Loss: 0.0540
Epoch [5/15], Step [50/114], Loss: 0.0143
Epoch [5/15], Step [60/114], Loss: 0.0421
Epoch [5/15], Step [70/114], Loss: 0.0193
Epoch [5/15], Step [80/114], Loss: 0.0202
Epoch [5/15], Step [90/114], Loss: 0.0353
Epoch [5/15], Step [100/114], Loss: 0.0466
Epoch [5/15], Step [110/114], Loss: 0.0293
Epoch [5/15], Loss: 0.0337, Train Acc: 99.16%, Test Acc: 95.42%
Epoch [6/15], Step [10/114], Loss: 0.0538
Epoch [6/15], Step [20/114], Loss: 0.0112
Epoch [6/15], Step [30/114], Loss: 0.0253
Epoch [6/15], Step [40/114], Loss: 0.0157
